material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Sb_wyckoff,num_Sb_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1039675,NaMg30SbO32,1.552831885655025,1.0031906943876954,[6.0],3.0,3.0,3.0,Octahedron,1c,1,6.0,Sb,0.0,True,31.0,6.0,2.2419387462920004,2.26081149682,2.248229663134667,0.008896699918659993,0.01887275052799975,96.0,39.7994974842648,0.0,180.0,6.0,1.0,1,Octahedron
mp-1040012,LiMg30SbO32,2.1373779549363277,0.1275471353910284,[6.0],3.0,3.0,3.0,Octahedron,1b,1,6.0,Sb,0.0,True,31.0,6.0,2.2190722066954898,2.2292770113142337,2.2258754097746523,0.004810591031064893,0.010204804618743957,84.0,39.7994974842648,0.0,180.0,6.0,1.0,1,Octahedron
mp-1040035,LiMg30SbO32,1.8141774598791385,0.6222515627975974,[6.0],3.0,3.0,3.0,Octahedron,1c,1,6.0,Sb,0.0,True,31.0,6.0,2.241612502128,2.253316542436001,2.245513848897334,0.0055173375127115995,0.011704040308000874,96.0,39.7994974842648,0.0,180.0,6.0,1.0,1,Octahedron
mp-1041730,YSb(WO4)2,1.9593674024906351,1.9191375928490335,[6.0],5.0,5.0,5.0,Octahedron,2f,1,6.0,Sb,0.0,True,,,,,,,,,,,,,,0,Octahedron
mp-1043556,SbPO5,1.922624585591272,0.4476218686022206,[6.0],5.0,5.0,5.0,Octahedron,4b,1,6.0,Sb,0.0,True,0.0,6.0,1.9214627700415796,2.0613743494753813,2.0082798427087725,0.06136069461960082,0.13991157943380172,85.62358350958236,44.0393733242114,15.943605413975726,178.77076681927232,6.0,1.0,1,Octahedron
mp-1043556,SbPO5,1.922624585591272,0.4476218686022206,[6.0],5.0,5.0,5.0,Octahedron,4b,1,6.0,Sb,0.0,True,1.0,6.0,1.9214627718304775,2.0613743483069014,2.0082798337899885,0.06136071088413394,0.13991157647642383,107.8304227850229,35.748538733812474,86.31147373160698,179.61179849668824,6.0,1.0,2,Octahedron
mp-1043556,SbPO5,1.922624585591272,0.4476218686022206,[6.0],5.0,5.0,5.0,Octahedron,4b,1,6.0,Sb,0.0,True,2.0,6.0,1.9214627695432631,2.0613743506604214,2.0082798344568,0.061360682038009914,0.1399115811171583,77.94559991479699,44.68987989855917,15.285592278846003,179.065788686688,6.0,1.0,3,Octahedron
mp-1043556,SbPO5,1.922624585591272,0.4476218686022206,[6.0],5.0,5.0,5.0,Octahedron,4b,1,6.0,Sb,0.0,True,3.0,6.0,1.9214627703187224,2.061374348363171,2.0082798522848897,0.06136071850806299,0.13991157804444865,44.709066417480805,18.9553454452575,15.006504455943933,92.05015484741227,6.0,1.0,4,Octahedron
mp-1043864,CaLaFeSbO6,2.0006866177551816,0.0969861926676524,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Sb,0.0,True,12.0,6.0,2.0089288315234044,2.0233849071825674,2.016558851032631,0.004912936710847382,0.014456075659162959,107.8150536454193,35.65453945909297,87.27220484525014,179.53717283797704,6.0,1.0,1,Octahedron
mp-1043864,CaLaFeSbO6,2.0006866177551816,0.0969861926676524,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Sb,0.0,True,13.0,6.0,2.010808036649711,2.0357106992003597,2.0214907183532045,0.00840517347757866,0.024902662550648547,107.81354572171936,35.64974291765282,87.54899653911367,179.33092053712534,6.0,1.0,2,Octahedron
mp-1043864,CaLaFeSbO6,2.0006866177551816,0.0969861926676524,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Sb,0.0,True,14.0,6.0,2.008171271325483,2.036323912318051,2.0181808156120797,0.010023364673585776,0.028152640992568312,57.4592090109485,33.09969632914891,10.956156895412152,92.35821644691555,6.0,1.0,3,Octahedron
mp-1043864,CaLaFeSbO6,2.0006866177551816,0.0969861926676524,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Sb,0.0,True,15.0,6.0,2.005935485765721,2.033746242993367,2.0176144499377906,0.008784544365945298,0.027810757227646032,57.563661942373116,33.12097578259556,11.018445771876396,92.3365673074759,6.0,1.0,4,Octahedron
