material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,N_wyckoff,num_N_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1019733,Eu(NO3)3,1.717976089157883,0.9012516061744136,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1020193,KNO3,1.4966455897236488,0.4631095582403473,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1020630,Rb2Na(NO3)3,1.440170557525282,0.3311297834608464,[3.0],5.0,5.0,5.0,"Hexagonal bipyramid, Trigonal plane","2b, 2a",2,3.0,N,0.0,True,6.0,3.0,1.2617793029970652,1.2822996275580503,1.2686194111840605,0.009673373766147395,0.02052032456098507,57.79101862291782,26.703010861133578,21.098834849448014,83.87267261108828,1.0,0.3333333333333333,1,"Hexagonal bipyramid, Trigonal plane"
mp-1020630,Rb2Na(NO3)3,1.440170557525282,0.3311297834608464,[3.0],5.0,5.0,5.0,"Hexagonal bipyramid, Trigonal plane","2b, 2a",2,3.0,N,0.0,True,7.0,3.0,1.2617793029970645,1.2822996275580505,1.26861941118406,0.009673373766147866,0.02052032456098596,57.791018622917825,26.70301086113358,21.098834849448014,83.87267261108828,1.0,0.3333333333333333,2,"Hexagonal bipyramid, Trigonal plane"
mp-1020630,Rb2Na(NO3)3,1.440170557525282,0.3311297834608464,[3.0],5.0,5.0,5.0,"Hexagonal bipyramid, Trigonal plane","2b, 2a",2,3.0,N,0.0,True,8.0,3.0,1.266824649096732,1.2739652932684222,1.2692048638206288,0.0033661319438948096,0.007140644171690136,55.412680558574834,25.235532193302316,21.620964086663353,82.25027159270293,1.0,0.3333333333333333,3,"Hexagonal bipyramid, Trigonal plane"
mp-1020630,Rb2Na(NO3)3,1.440170557525282,0.3311297834608464,[3.0],5.0,5.0,5.0,"Hexagonal bipyramid, Trigonal plane","2b, 2a",2,3.0,N,0.0,True,9.0,3.0,1.2668200152965226,1.2739652932684231,1.2692017746204896,0.003368316338262344,0.0071452779719005655,79.98124252918592,42.200490628827616,21.62072135568452,119.97165067453275,1.0,0.3333333333333333,4,"Hexagonal bipyramid, Trigonal plane"
mp-1020630,Rb2Na(NO3)3,1.440170557525282,0.3311297834608464,[3.0],5.0,5.0,5.0,"Hexagonal bipyramid, Trigonal plane","2b, 2a",2,3.0,N,0.0,True,10.0,3.0,1.2684271515663015,1.2741811637081564,1.2703451556135865,0.002712467336356726,0.005754012141854892,119.99995244842773,0.46142215446712037,119.67367771401432,120.65250191725455,2.0,0.6666666666666666,5,"Hexagonal bipyramid, Trigonal plane"
mp-1020630,Rb2Na(NO3)3,1.440170557525282,0.3311297834608464,[3.0],5.0,5.0,5.0,"Hexagonal bipyramid, Trigonal plane","2b, 2a",2,3.0,N,0.0,True,11.0,3.0,1.2684271515663021,1.2741811637081562,1.270345155613587,0.0027124673363563075,0.0057540121418540036,82.10362246224749,27.258174069778217,62.82918273474399,120.65250191725445,2.0,0.6666666666666666,6,"Hexagonal bipyramid, Trigonal plane"
mp-1020671,Y(NO3)3,1.7923970747933935,1.0292993583638386,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1100878,YNO4,1.4178936356086005,0.3105404182925197,[3.0],5.0,5.0,5.0,Trigonal plane,4c,1,3.0,N,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
