material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Re_wyckoff,num_Re_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-10094,Tm5(ReO6)2,1.85558389951746,0.7712906405964093,[6.0],5.0,5.0,5.0,Octahedron,2g,1,6.0,Re,0.0,True,5.0,6.0,1.9541521850975303,2.0808848665441464,1.998262346664734,0.05846755665603011,0.1267326814466161,68.34653326906846,34.494045305567106,19.974054429252345,150.5903032593581,6.0,1.0,1,Octahedron
mp-10094,Tm5(ReO6)2,1.85558389951746,0.7712906405964093,[6.0],5.0,5.0,5.0,Octahedron,2g,1,6.0,Re,0.0,True,6.0,6.0,1.9543998199390664,2.080951901237107,1.9984710010580804,0.05836843307657617,0.12655208129804052,68.34940509274385,34.4932460460447,19.97857179620264,150.59267006620638,6.0,1.0,2,Octahedron
mp-1016092,Re2O7,1.939720464035301,0.3092325725429793,"[4.0, 6.0]",7.0,7.0,7.0,"Tetrahedron, Octahedron",4a,2,4.0,Re,0.0,True,,,,,,,,,,,,,,0,"Tetrahedron, Octahedron"
mp-1016092,Re2O7,1.939720464035301,0.3092325725429793,"[4.0, 6.0]",7.0,7.0,7.0,"Tetrahedron, Octahedron",4a,2,6.0,Re,0.0,True,0.0,6.0,1.7227724046143063,2.191786918366031,1.946604872518714,0.20394995421183357,0.46901451375172454,54.7983055981313,29.937766171118696,12.249672092179098,101.821617545774,4.0,0.6666666666666666,1,"Tetrahedron, Octahedron"
mp-1016092,Re2O7,1.939720464035301,0.3092325725429793,"[4.0, 6.0]",7.0,7.0,7.0,"Tetrahedron, Octahedron",4a,2,6.0,Re,0.0,True,3.0,6.0,1.721401328347697,2.158276221750235,1.9470104731707003,0.20464943954911166,0.43687489340253793,104.04265873677173,30.3586327887753,76.8533041871211,163.20644444005984,4.0,0.6666666666666666,2,"Tetrahedron, Octahedron"
mp-1016092,Re2O7,1.939720464035301,0.3092325725429793,"[4.0, 6.0]",7.0,7.0,7.0,"Tetrahedron, Octahedron",4a,2,6.0,Re,0.0,True,4.0,6.0,1.7214013283476963,2.1582762217502345,1.9470104731706996,0.2046494395491118,0.43687489340253816,85.51510683961062,32.44417565653527,32.195092531420926,162.3263222652652,4.0,0.6666666666666666,3,"Tetrahedron, Octahedron"
mp-1016092,Re2O7,1.939720464035301,0.3092325725429793,"[4.0, 6.0]",7.0,7.0,7.0,"Tetrahedron, Octahedron",4a,2,6.0,Re,0.0,True,7.0,6.0,1.7227724046143078,2.19178691836603,1.9466048725187146,0.20394995421183285,0.4690145137517221,104.08629690194279,30.395815555345624,77.48875334224518,165.0904256474995,4.0,0.6666666666666666,4,"Tetrahedron, Octahedron"
mp-1016092,Re2O7,1.939720464035301,0.3092325725429793,"[4.0, 6.0]",7.0,7.0,7.0,"Tetrahedron, Octahedron",4a,2,6.0,Re,0.0,True,8.0,6.0,1.7227724046143085,2.191786918366031,1.9466048725187142,0.20394995421183204,0.4690145137517223,85.41720766069406,32.5119623026884,31.382893202494195,162.0189497292319,4.0,0.6666666666666666,5,"Tetrahedron, Octahedron"
mp-1016092,Re2O7,1.939720464035301,0.3092325725429793,"[4.0, 6.0]",7.0,7.0,7.0,"Tetrahedron, Octahedron",4a,2,6.0,Re,0.0,True,11.0,6.0,1.7214013283476968,2.158276221750237,1.9470104731707003,0.20464943954911205,0.4368748934025404,104.04265873677171,30.358632788775296,76.85330418712111,163.2064444400598,4.0,0.6666666666666666,6,"Tetrahedron, Octahedron"
mp-1016092,Re2O7,1.939720464035301,0.3092325725429793,"[4.0, 6.0]",7.0,7.0,7.0,"Tetrahedron, Octahedron",4a,2,6.0,Re,0.0,True,12.0,6.0,1.7214013283476952,2.158276221750234,1.9470104731706996,0.20464943954911205,0.4368748934025388,85.51510683961061,32.44417565653528,32.195092531420926,162.3263222652652,4.0,0.6666666666666666,7,"Tetrahedron, Octahedron"
mp-1016092,Re2O7,1.939720464035301,0.3092325725429793,"[4.0, 6.0]",7.0,7.0,7.0,"Tetrahedron, Octahedron",4a,2,6.0,Re,0.0,True,15.0,6.0,1.7227724046143067,2.19178691836603,1.946604872518714,0.203949954211833,0.4690145137517232,55.65004586382465,28.61350571899936,11.706082071572123,101.31425256700652,4.0,0.6666666666666666,8,"Tetrahedron, Octahedron"
mp-10326,Zn(ReO4)2,1.7994983140771024,0.1095863164472836,[4.0],7.0,7.0,7.0,Tetrahedron,2d,1,4.0,Re,0.0,True,1.0,4.0,1.7235102287599444,1.7434446222405897,1.7384492510931255,0.008625053925017017,0.019934393480645296,109.4711835390035,0.06324407371859957,109.40698335788774,109.53515085476597,3.0,0.75,1,Tetrahedron
